No.	Observed Passband	Photometry Measurement	Uncertainty	Units	Frequency	NED Photometry Measurement	NED Uncertainty	NED Units	Refcode	Significance	Published frequency	Frequency Mode	Coordinates Targeted	Spatial Mode	Qualifiers	Comments	log v	log(Jy)
1	2-10 keV (ASCA)     	1.10E-13		 ergs/s/cm^2^       	1.45E+18	7.59E-09		Jy	2001ApJS..133....1U	no uncertainty reported	      6.00 keV       	 Broad-band measurement	233.7458 +23.4932 (J2000)	 Flux integrated from map	                                        	From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV	18.161368	-26.28112623
2	2-10 keV (Suzaku)   	9.80E-14	+/-0.24E-13	erg/s/cm^2^         	1.45E+18	6.76E-09	+/-1.66E-09	Jy	2009ApJ...691..261T	uncertainty	      6.00 keV       	 Broad-band measurement		 Modelled datum	                                        	From new raw data; NED frequency assigned to mid-point ofband in keV	18.161368	-26.33142131
3	2-10 keV            	1.07E-13	+/-0.18E-13	erg/s/cm^2^         	1.45E+18	7.38E-09	+/-1.24E-09	Jy	2011ApJ...729...52L	uncertainty	      6.00 keV       	 Broad-band measurement		 Modelled datum	                                        	From reprocessed raw data; NED frequency assigned tomid-point of band in keV	18.161368	-26.29331164
4	2-7 keV (Chandra)   	6.60E-14		erg/s/cm^2^         	1.09E+18	6.06E-09		Jy	2011A&A...529A.106I	no uncertainty reported	      4.50 keV       	 Broad-band measurement		 Modelled datum	                                        	From reprocessed raw data; NED frequency assigned tomid-point of band in keV	18.0374265	-26.25495387
5	0.7-7 keV (ASCA)    	2.10E-13		 ergs/s/cm^2^       	9.31E+17	2.26E-08		Jy	2001ApJS..133....1U	no uncertainty reported	      3.85 keV       	 Broad-band measurement	233.7458 +23.4932 (J2000)	 Flux integrated from map	                                        	From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV	17.96894968	-25.61484124
6	EO IPC (0.1-4.5 keV)	45.69		nJy                 	3.87E+17	4.57E-08		Jy	1996MNRAS.278.1049R	no uncertainty reported	1.6        keV       	 Broad-band measurement; broad-band flux derived by integration over spectrum; synthetic band	153457.22 +233011.40 (J2000)	 Integrated from scans	                                        	Homogenized from previously published data	17.58771097	-24.92779476
7	0.7-2 keV (ASCA)    	1.40E-13		 ergs/s/cm^2^       	3.26E+17	4.29E-08		Jy	2001ApJS..133....1U	no uncertainty reported	      1.35 keV       	 Broad-band measurement	233.7458 +23.4932 (J2000)	 Flux integrated from map	                                        	From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV	17.5132176	-24.88076031
8	0.5-2 keV (Suzaku)  	6.60E-14	+/-0.10E-13	erg/s/cm^2^         	3.02E+17	2.19E-08	+/-3.31E-09	Jy	2009ApJ...691..261T	uncertainty	      1.25 keV       	 Broad-band measurement		 Modelled datum	                                        	From new raw data; NED frequency assigned to mid-point ofband in keV	17.48000694	-25.13956283
9	0.5-2 keV (Chandra) 	2.70E-14		erg/s/cm^2^         	3.02E+17	8.94E-09		Jy	2011A&A...529A.106I	no uncertainty reported	      1.25 keV       	 Broad-band measurement		 Modelled datum	                                        	From reprocessed raw data; NED frequency assigned tomid-point of band in keV	17.48000694	-25.52866942
10	FUV (GALEX) AB      	18.97	+/-0.12 	mag                 	1.96E+15	9.42E-05	+/-1.01E-05	Jy	2014ApJS..212...18B	uncertainty	    1531   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data	15.29225607	-19.31820517
11	FUV (GALEX) AB      	18.57	+/-0.12 	mag                 	1.96E+15	1.36E-04	+/-1.45E-05	Jy	2014ApJS..212...18B	uncertainty	    1531   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data; Extinction-corrected for Milky Way	15.29225607	-19.15871716
12	UVW2 (Swift) AB     	17.96	+/-0.10 	mag                 	1.48E+15	2.38E-04	+/-2.19E-05	Jy	2014ApJS..212...18B	uncertainty	    2026   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data	15.17026172	-18.79368476
13	UVW2 (Swift) AB     	17.55	+/-0.10 	mag                 	1.48E+15	3.46E-04	+/-3.18E-05	Jy	2014ApJS..212...18B	uncertainty	    2026   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data; Extinction-corrected for Milky Way	15.17026172	-18.63118562
14	NUV (GALEX) AB      	17.66	+/-0.10 	mag                 	1.31E+15	3.13E-04	+/-2.88E-05	Jy	2014ApJS..212...18B	uncertainty	    2286   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data	15.1172713	-18.62172696
15	NUV (GALEX) AB      	17.26	+/-0.10 	mag                 	1.31E+15	4.53E-04	+/-4.17E-05	Jy	2014ApJS..212...18B	uncertainty	    2286   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture; PSF corr              "	From new raw data; Extinction-corrected for Milky Way	15.1172713	-18.46117309
16	u (SDSS) AB         	15.48	+/-0.05 	mag                 	8.44E+14	2.32E-03	+/-1.07E-04	Jy	2014ApJS..212...18B	uncertainty	    3551   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data	14.92634245	-17.56085446
17	u (SDSS) AB         	15.26	+/-0.05 	mag                 	8.44E+14	2.85E-03	+/-1.31E-04	Jy	2014ApJS..212...18B	uncertainty	    3551   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data; Extinction-corrected for Milky Way	14.92634245	-17.47149759
18	U_T (VATT)          	14.341	+/-0.023	mag                 	8.19E+14	3.32E-03	+/-6.98E-05	Jy	2005ApJ...630..784T	uncertainty	    3660   A         	 Broad-band measurement	15 34 56.33 +23 29 33.8 (J2000)	 Total flux	                                        	From new raw data; derived from a flux in a different bandand a color; Standard Johnson UBVRI filters assumed	14.9132839	-17.39214582
19	U (U_T)             	14.27	+/-0.15 	mag                 	8.19E+14	3.55E-03	+/-5.09E-04	Jy	1991RC3.9.C...0000d	rms uncertainty	3660       A         	 Broad-band measurement	153247.3 +234006 (B1950)	 From multi-aperture data	                                        	Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed	14.9132839	-17.36305555
20	U (U_T^0)           	13.87		mag                 	8.19E+14	5.13E-03		Jy	1991RC3.9.C...0000d	no uncertainty reported	3660       A         	 Broad-band measurement	153247.3 +234006 (B1950)	 From multi-aperture data	                                        	Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way andK-correction applied; Standard Johnson UBVRI filtersassumed	14.9132839	-17.20316654
21	[O II] 3727 (Bok)   	1.16E-13	+/-21.0E-15	erg s^-1^ cm^-2^    	8.04E+14	1.16E+10	+/-2.10E+09	Jy-Hz	2006ApJS..164...81M	uncertainty	    3727   A         	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data; Extinction-corrected for Milky Way	14.90525605	-4.84079806
22	103a-O (POSS-I O)   	14.43		mag                 	7.40E+14	6.44E-03		Jy	2006ApJ...639...37K	no uncertainty reported	    4050   A         	 Broad-band measurement	153457.1 +233007 (J2000)	 Flux integrated from map	                                        	Averaged new and previously published data	14.86923172	-17.06034585
23	H{delta} (Bok)      	6.60E-15	+/-3.60E-15	erg s^-1^ cm^-2^    	7.31E+14	6.60E+08	+/-3.60E+08	Jy-Hz	2006ApJS..164...81M	uncertainty	    4101   A         	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data; Extinction-corrected for Milky Way	14.86391738	-6.044373441
24	H{gamma} (Bok)      	4.40E-15	+/-3.10E-15	erg s^-1^ cm^-2^    	6.91E+14	4.40E+08	+/-3.10E+08	Jy-Hz	2006ApJS..164...81M	uncertainty	    4340   A         	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data; Extinction-corrected for Milky Way	14.83947805	-6.196025371
25	m_p                 	14.4	+/-0.4  	mag                 	6.81E+14	7.40E-03	+/-3.30E-03	Jy	1963CGCG2.C...0000Z	rms noise	4400       A         	 Broad-band measurement	153248.0 +234000. (B1950)	 Estimated by eye	                                        	From new raw data	14.83314711	-16.96391539
26	B_T (VATT)          	14.011	+/-0.011	mag                 	6.81E+14	1.06E-02	+/-1.07E-04	Jy	2005ApJ...630..784T	uncertainty	    4400   A         	 Broad-band measurement	15 34 56.33 +23 29 33.8 (J2000)	 Total flux	                                        	From new raw data; Standard Johnson UBVRI filters assumed	14.83314711	-16.80784125
27	B (UH)              	14	+/-0.07 	 mag                	6.81E+14	1.07E-02	+/-6.90E-04	Jy	2000ApJ...529..170S	uncertainty	    4400   A         	 Broad-band measurement	15 34 57.3 +23 30 11.9 (J2000)	 Flux in fixed aperture	                                        	From new raw data	14.83314711	-16.80376333
28	B (UH)              	17.6	+/-0.1  	 mag                	6.81E+14	3.89E-04	+/-3.58E-05	Jy	2000ApJ...529..170S	uncertainty	    4400   A         	 Broad-band measurement	15 34 57.3 +23 30 11.9 (J2000)	 Flux in fixed aperture	Nuclear mag                             	From new raw data	14.83314711	-18.24319751
29	B (B_T)             	13.94	+/-0.14 	mag                 	6.81E+14	1.13E-02	+/-1.56E-03	Jy	1991RC3.9.C...0000d	rms uncertainty	4400       A         	 Broad-band measurement	153247.3 +234006 (B1950)	 From multi-aperture data	                                        	Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed	14.83314711	-16.78006867
30	B (m_B)             	13.9	+/-0.20 	mag                 	6.81E+14	1.17E-02	+/-2.37E-03	Jy	1991RC3.9.C...0000d	rms uncertainty	4400       A         	 Broad-band measurement	153247.3 +234006 (B1950)	 Multiple methods	                                        	Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed	14.83314711	-16.76496125
31	B (B_T^0)           	13.61		mag                 	6.81E+14	1.53E-02		Jy	1991RC3.9.C...0000d	no uncertainty reported	4400       A         	 Broad-band measurement	153247.3 +234006 (B1950)	 Multiple methods	                                        	Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way andK-correction applied; Standard Johnson UBVRI filtersassumed	14.83314711	-16.64845568
32	g (SDSS) AB         	13.85	+/-0.05 	mag                 	6.40E+14	1.04E-02	+/-4.81E-04	Jy	2014ApJS..212...18B	uncertainty	    4681   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data	14.80617997	-16.78914663
33	g (SDSS) AB         	13.68	+/-0.05 	mag                 	6.40E+14	1.23E-02	+/-5.65E-04	Jy	2014ApJS..212...18B	uncertainty	    4681   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data; Extinction-corrected for Milky Way	14.80617997	-16.71627486
34	H{beta} (Bok)       	1.12E-14	+/-2.50E-15	erg s^-1^ cm^-2^    	6.17E+14	1.12E+09	+/-2.50E+08	Jy-Hz	2006ApJS..164...81M	uncertainty	    4861   A         	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data; Extinction-corrected for Milky Way	14.79028516	-5.741067141
35	[O III] 5007 (Bok)  	3.05E-14	+/-3.00E-15	erg s^-1^ cm^-2^    	5.99E+14	3.05E+09	+/-3.00E+08	Jy-Hz	2006ApJS..164...81M	uncertainty	    5007   A         	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	From new raw data; Extinction-corrected for Milky Way	14.77742682	-5.293126983
36	[O III] 5007 (SDSS) 	1.80E-15		erg/s/cm^2^         	5.99E+14	1.80E+08		Jy-Hz	2010ApJ...720..786L	no uncertainty reported	      5007 A         	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11 (J2000)	 Flux integrated from map	                                        	Averaged from previously published data	14.77742682	-6.522154317
37	V_T (VATT)          	13.187	+/-0.018	mag                 	5.42E+14	1.93E-02	+/-3.17E-04	Jy	2005ApJ...630..784T	uncertainty	    5530   A         	 Broad-band measurement	15 34 56.33 +23 29 33.8 (J2000)	 Total flux	                                        	From new raw data; derived from a flux in a different bandand a color; Standard Johnson UBVRI filters assumed	14.73399929	-16.44844198
38	V (V_T)             	13.2	+/-0.14 	mag                 	5.42E+14	1.91E-02	+/-2.69E-03	Jy	1991RC3.9.C...0000d	rms uncertainty	5530       A         	 Broad-band measurement	153247.3 +234006 (B1950)	 From multi-aperture data	                                        	Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed	14.73399929	-16.45296592
39	V (V_T^0)           	12.96		mag                 	5.42E+14	2.38E-02		Jy	1991RC3.9.C...0000d	no uncertainty reported	5530       A         	 Broad-band measurement	153247.3 +234006 (B1950)	 From multi-aperture data	                                        	Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way andK-correction applied; Standard Johnson UBVRI filtersassumed	14.73399929	-16.35742233
40	r (SDSS) AB         	13.03	+/-0.05 	mag                 	4.86E+14	2.23E-02	+/-1.03E-03	Jy	2014ApJS..212...18B	uncertainty	    6165   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data; Extinction-corrected for Milky Way	14.68663627	-16.33833141
