Name,RA (J2000),Dec (J2000),Object Type,cz [km/s],z-flag,Redshift Reference,PA [deg],Sep. [Mpc],Δcz [km/s]
ARP 220,15h34m57.25s,+23d30m11.3s,G,5434,,1991RC3.9.C...0000d,0.0,0.0000,0
2MASX J15355358+2334556,15h35m53.56s,+23d34m55.8s,G,5337,,2007SDSS6.C...0000:,69.8,0.2913,-97
LDCE 1130,15h34m15.00s,+23d11m28.0s,GTrpl,5350,,2008ApJ...685.1320C,-152.6,0.4468,-84
CGCG 136-016,15h34m04.10s,+22d56m03.3s,G,5174,,1999PASP..111..438F,-160.3,0.7682,-260
SDSS J153623.21+225356.1,15h36m23.21s,+22d53m56.1s,G,5253,,2011ApJ...735..125S,151.3,0.8748,-181
SDSS J153825.55+231440.9,15h38m25.55s,+23d14m41.0s,G,5752,,2007SDSS6.C...0000:,107.8,1.0649,318
SDSS J153228.73+240925.4,15h32m28.74s,+24d09m25.5s,G,5560,,2011ApJ...735..125S,-40.8,1.0997,126
IC 1124,15h30m00.87s,+23d38m18.3s,G,5313,,2003A&A...412...57P,-82.9,1.4495,-121
CGCG 136-034,15h37m45.21s,+22d25m34.3s,G,5277,,1999PASP..111..438F,149.0,1.5958,-157
2MASX J15283828+2329590,15h28m38.30s,+23d29m59.3s,G,5077,,2007SDSS6.C...0000:,-89.8,1.8414,-357
2MASX J15401936+2239281,15h40m19.35s,+22d39m28.0s,G,6267,,2007SDSS6.C...0000:,124.1,1.9028,833
SDSS J152824.65+233810.8,15h28m24.65s,+23d38m10.8s,G,5044,,2007SDSS6.C...0000:,-84.6,1.9142,-390
SDSS J153902.55+233927.1,15h39m02.56s,+23d39m27.2s,G,7011,,2007SDSS6.C...0000:,80.4,1.2071,1577
UGC 09927,15h36m27.77s,+22d30m01.8s,G,4328,,1999PASP..111..438F,160.8,1.3491,-1106
2MASXi J1531017+225223,15h31m01.67s,+22d52m23.8s,G,7152,,2007SDSS6.C...0000:,-124.7,1.3992,1718
SDSS J153954.78+232040.0,15h39m54.79s,+23d20m40.1s,G,4308,,2007SDSS6.C...0000:,97.7,1.4605,-1126
SDSS J153745.19+222526.2,15h37m45.20s,+22d25m26.2s,G,7441,,2011ApJ...735..125S,149.0,1.5982,2007
SDSS J154041.92+234958.1,15h40m41.92s,+23d49m58.1s,G,7027,,2007SDSS6.C...0000:,75.6,1.7243,1593
SDSS J153840.75+222638.7,15h38m40.76s,+22d26m38.7s,G,7164,,2011ApJ...735..125S,140.8,1.7327,1730
SDSS J154046.31+231350.7,15h40m46.32s,+23d13m50.8s,G,6933,,2007SDSS6.C...0000:,101.2,1.7327,1499
SDSS J153320.05+221108.8,15h33m20.06s,+22d11m08.9s,G,6922,,2011ApJ...735..125S,-164.1,1.7411,1488
SDSS J153756.30+221613.2,15h37m56.30s,+22d16m13.3s,G,7208,,2011ApJ...735..125S,150.7,1.7948,1774
SDSS J153758.38+221458.9,15h37m58.39s,+22d14m58.9s,G,7089,,2011ApJ...735..125S,150.8,1.8227,1655
SDSS J154158.37+234823.7,15h41m58.38s,+23d48m23.8s,G,7342,,2007SDSS6.C...0000:,79.0,2.0801,1908
2MASX J15390956+2449504,15h39m09.58s,+24d49m51.0s,G,4872,,2007SDSS6.C...0000:,35.6,2.0830,-562
